date,weekday,cycle_letter
2025-08-11,Monday,A
2025-08-12,Tuesday,B
2025-08-13,Wednesday,C
2025-08-14,Thursday,D
2025-08-15,Friday,E
2025-08-16,Saturday,0
2025-08-17,Sunday,0
2025-08-18,Monday,F
2025-08-19,Tuesday,G
2025-08-20,Wednesday,H
2025-08-21,Thursday,A
2025-08-22,Friday,B
2025-08-23,Saturday,0
2025-08-24,Sunday,0
2025-08-25,Monday,C
2025-08-26,Tuesday,D
2025-08-27,Wednesday,E
2025-08-28,Thursday,F
2025-08-29,Friday,G
2025-08-30,Saturday,0
2025-08-31,Sunday,0
2025-09-01,Monday,H
2025-09-02,Tuesday,A
2025-09-03,Wednesday,B
2025-09-04,Thursday,C
2025-09-05,Friday,D
2025-09-06,Saturday,0
2025-09-07,Sunday,0
2025-09-08,Monday,E
2025-09-09,Tuesday,F
2025-09-10,Wednesday,G
2025-09-11,Thursday,H
2025-09-12,Friday,A
2025-09-13,Saturday,0
2025-09-14,Sunday,0
2025-09-15,Monday,B
2025-09-16,Tuesday,C
2025-09-17,Wednesday,D
2025-09-18,Thursday,E
2025-09-19,Friday,F
2025-09-20,Saturday,0
2025-09-21,Sunday,0
2025-09-22,Monday,G
2025-09-23,Tuesday,H
2025-09-24,Wednesday,A
2025-09-25,Thursday,B
2025-09-26,Friday,C
2025-09-27,Saturday,0
2025-09-28,Sunday,0
2025-09-29,Monday,D
2025-09-30,Tuesday,E
2025-10-01,Wednesday,F
2025-10-02,Thursday,G
2025-10-03,Friday,H
2025-10-04,Saturday,0
2025-10-05,Sunday,0
2025-10-06,Monday,A
2025-10-07,Tuesday,B
2025-10-08,Wednesday,C
2025-10-09,Thursday,D
2025-10-10,Friday,E
2025-10-11,Saturday,0
2025-10-12,Sunday,0
2025-10-13,Monday,F
2025-10-14,Tuesday,G
2025-10-15,Wednesday,H
2025-10-16,Thursday,A
2025-10-17,Friday,B
2025-10-18,Saturday,0
2025-10-19,Sunday,0
2025-10-20,Monday,C
2025-10-21,Tuesday,D
2025-10-22,Wednesday,E
2025-10-23,Thursday,F
2025-10-24,Friday,G
2025-10-25,Saturday,0
2025-10-26,Sunday,0
2025-10-27,Monday,H
2025-10-28,Tuesday,A
2025-10-29,Wednesday,B
2025-10-30,Thursday,C
2025-10-31,Friday,D
2025-11-01,Saturday,0
2025-11-02,Sunday,0
2025-11-03,Monday,E
2025-11-04,Tuesday,F
2025-11-05,Wednesday,G
2025-11-06,Thursday,H
2025-11-07,Friday,A
2025-11-08,Saturday,0
2025-11-09,Sunday,0
2025-11-10,Monday,B
2025-11-11,Tuesday,C
2025-11-12,Wednesday,D
2025-11-13,Thursday,E
2025-11-14,Friday,F
2025-11-15,Saturday,0
2025-11-16,Sunday,0
2025-11-17,Monday,G
